country,divisions,work_seconds,elapsed_seconds,overture_seconds,raw_bytes,brotli_bytes,finished_at_utc,seconds_since_build_start
AD,10,0.1,2.5,6.6,1126,757,2026-09-17T16:28:11Z,27
AE,352,63.4,17.1,0.0,626824,255875,2026-09-17T16:28:26Z,42
AI,1,0.0,19.1,1.1,192,184,2026-09-17T16:28:31Z,47
AG,9,0.3,20.6,0.0,1162,754,2026-09-17T16:28:31Z,47
AF,586,22.2,28.5,1.4,518661,249630,2026-09-17T16:28:39Z,55
AL,474,23.0,16.4,0.0,657363,307447,2026-09-17T16:28:42Z,58
AM,1090,3.9,11.8,0.0,344393,175936,2026-09-17T16:28:43Z,59
AQ,2,1.3,18.7,0.0,9244,4461,2026-09-17T16:28:58Z,74
AO,242,24.7,26.4,0.0,422599,199766,2026-09-17T16:28:58Z,74
AS,97,0.5,124.3,0.0,54281,26809,2026-09-17T16:31:02Z,198
AR,3308,488.6,131.7,7.4,8185064,3194949,2026-09-17T16:31:02Z,198
AT,2319,84.4,146.0,0.0,2774434,1324234,2026-09-17T16:31:24Z,220
AW,6,0.1,313.1,0.0,4125,2208,2026-09-17T16:36:15Z,511
AU,14568,1160.1,429.1,4.2,29539800,12170500,2026-09-17T16:36:15Z,511
AX,25,1.9,314.6,0.0,16798,7559,2026-09-17T16:36:17Z,513
AZ,3462,13.2,294.9,0.0,933880,484711,2026-09-17T16:36:19Z,515
BB,92,0.1,7.8,0.0,15284,8508,2026-09-17T16:36:23Z,519
BA,164,19.8,9.5,0.0,233873,113342,2026-09-17T16:36:24Z,520
BD,819,23.3,13.7,0.0,838675,394789,2026-09-17T16:36:30Z,526
BE,2295,71.1,30.5,0.0,1813629,836788,2026-09-17T16:36:49Z,545
BF,331,147.2,63.5,0.0,1349188,563420,2026-09-17T16:37:27Z,583
BH,7,0.1,69.4,0.0,1543,970,2026-09-17T16:37:40Z,596
BG,2322,45.1,76.7,0.0,2150459,1025180,2026-09-17T16:37:41Z,597
BI,159,1.3,51.9,0.0,64575,33713,2026-09-17T16:37:41Z,597
BL,2,0.1,2.1,0.0,2196,1229,2026-09-17T16:37:42Z,598
BN,102,0.4,1.4,0.0,40351,21191,2026-09-17T16:37:43Z,599
BM,12,0.2,1.7,0.0,1001,643,2026-09-17T16:37:43Z,599
BJ,356,4.9,15.8,0.0,164280,81239,2026-09-17T16:37:43Z,599
BQ,1,0.0,64.2,0.0,259,215,2026-09-17T16:38:47Z,663
BO,3888,239.8,65.3,0.0,2776084,1228554,2026-09-17T16:38:47Z,663
BR,6377,1941.4,552.0,0.0,27729615,11791784,2026-09-17T16:46:55Z,1151
BS,36,1.3,537.5,0.0,15172,8070,2026-09-17T16:46:56Z,1152
BV,1,0.0,494.8,0.0,135,139,2026-09-17T16:47:02Z,1158
BT,1063,29.6,495.7,0.0,981039,466165,2026-09-17T16:47:03Z,1159
BW,59,9.7,26.0,0.0,116995,51446,2026-09-17T16:47:21Z,1177
BY,23806,235.9,70.3,0.0,7977469,3793762,2026-09-17T16:48:06Z,1222
BZ,41,1.8,64.9,0.0,46104,22058,2026-09-17T16:48:07Z,1223
CC,2,0.0,197.8,0.0,509,378,2026-09-17T16:50:38Z,1374
CA,7375,564.0,216.1,0.0,11318907,4618946,2026-09-17T16:50:39Z,1375
CD,1490,93.3,176.2,0.0,1401544,640014,2026-09-17T16:51:02Z,1398
CF,124,14.3,182.8,0.0,239147,113638,2026-09-17T16:51:10Z,1406
CG,91,6.5,32.5,0.0,134898,64079,2026-09-17T16:51:11Z,1407
CH,2335,42.0,43.1,0.0,1838292,897439,2026-09-17T16:51:22Z,1418
CK,17,1.0,24.2,0.0,17852,8467,2026-09-17T16:51:34Z,1430
CI,207,48.3,40.9,0.0,566141,236413,2026-09-17T16:51:43Z,1439
CL,425,245.9,89.5,0.0,2632052,1160845,2026-09-17T16:52:40Z,1496
CM,512,214.2,139.8,0.0,2183377,909161,2026-09-17T16:53:42Z,1558
